module,relative_path,size_bytes,size_human,file_type,data_rows_or_records,structure_or_pages,count_interpretation
04_SCRIPTS,04_SCRIPTS/original_project_scripts/merge_round2.py,4977,4.9 KB,Python script,N/A,138 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/merge_round3.py,3536,3.5 KB,Python script,N/A,103 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/merge_round4.py,3538,3.5 KB,Python script,N/A,103 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/reproduce_event_study.py,5382,5.3 KB,Python script,N/A,98 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/verified_round2.py,10709,10.5 KB,Python script,N/A,131 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/verified_round3_sea.py,4811,4.7 KB,Python script,N/A,58 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/verified_round4_grab.py,3882,3.8 KB,Python script,N/A,52 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/recompute_event_study_from_preserved_prices.py,6668,6.5 KB,Python script,N/A,135 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/recover_quarterly_primary_sources.py,8217,8.0 KB,Python script,N/A,135 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/reextract_goto_panel_metrics.py,7645,7.5 KB,Python script,N/A,111 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/reextract_grab_panel_components.py,8205,8.0 KB,Python script,N/A,180 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/reextract_sea_panel_metrics.py,5044,4.9 KB,Python script,N/A,110 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/scan_quarterly_panel_source_tokens.py,5555,5.4 KB,Python script,N/A,127 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/validate_empirical_package.py,3723,3.6 KB,Python script,N/A,75 code lines,code file; rows are not applicable
05_RESULTS,05_RESULTS/event_accounting_ratio_checks.csv,4041,3.9 KB,CSV table,47,7 columns,data rows exclude header
05_RESULTS,05_RESULTS/event_accounting_summary_rebuilt.csv,854,854 B,CSV table,3,10 columns,data rows exclude header
05_RESULTS,05_RESULTS/fy2023_indonesia_leave_one_platform_out.csv,740,740 B,CSV table,3,9 columns,data rows exclude header
05_RESULTS,05_RESULTS/fy2023_indonesia_main_one_way_sensitivity.csv,4712,4.6 KB,CSV table,14,15 columns,data rows exclude header
05_RESULTS,05_RESULTS/fy2023_indonesia_main_rebuilt.csv,1358,1.3 KB,CSV table,3,13 columns,data rows exclude header
05_RESULTS,05_RESULTS/fy2023_indonesia_main_sensitivity.csv,1064,1.0 KB,CSV table,5,8 columns,data rows exclude header
05_RESULTS,05_RESULTS/fy2023_indonesia_main_summary.csv,241,241 B,CSV table,1,6 columns,data rows exclude header
05_RESULTS,05_RESULTS/historical_within_platform_ratios.csv,2120,2.1 KB,CSV table,8,9 columns,data rows exclude header
05_RESULTS,05_RESULTS/indonesia_platform_year_extension.csv,3642,3.6 KB,CSV table,9,13 columns,data rows exclude header
05_RESULTS,05_RESULTS/reproduction_checks.csv,385,385 B,CSV table,3,5 columns,data rows exclude header
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/ASEAN_IE_Data_Compiled.xlsx,8724,8.5 KB,Excel workbook,21,Malaysia_SToDS_LVG:6; Vietnam_Foreign_Portal:4; Vietnam_Domestic_Ecom:3; eConomy_SEA_2024:4; Payment_Systems:4,approximate data rows across sheets; headers excluded
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/ASEAN_IE_Data_Summary.csv,376,376 B,CSV table,4,7 columns,data rows exclude header
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/README.md,644,644 B,Documentation,N/A,5 lines,documentation; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/indonesia_digital_economy_data.xlsx,10141,9.9 KB,Excel workbook,28,Digital Economy GMV:6; Sectoral GMV 2025:4; Digital Tax Revenue:6; Crypto Tax Composition:2; Fintech Tax Composition:3; SIPP Tax Composition:2; ASEAN Digital VAT Policies:5,approximate data rows across sheets; headers excluded
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/e_conomy_sea_2024_report.pdf,19846797,18.9 MB,PDF source document,N/A,128 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/e_conomy_sea_2025_report.pdf,22757311,21.7 MB,PDF source document,N/A,82 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/indonesia_e_conomy_sea_2025_report.pdf,3040024,2.9 MB,PDF source document,N/A,15 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/malaysia_e_conomy_sea_2025_report.pdf,3133000,3.0 MB,PDF source document,N/A,15 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_food_delivery_2021.html,253337,247.4 KB,HTML/XML source document,N/A,2186 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_food_delivery_2022.html,257098,251.1 KB,HTML/XML source document,N/A,2178 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_indonesia_2020.html,262090,255.9 KB,HTML/XML source document,N/A,2196 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_sea_2022.html,250136,244.3 KB,HTML/XML source document,N/A,2165 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_sea_2023.html,250342,244.5 KB,HTML/XML source document,N/A,2163 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_sea_2024_press_release.html,253423,247.5 KB,HTML/XML source document,N/A,2164 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_sea_2025_press_release.html,242680,237.0 KB,HTML/XML source document,N/A,2108 lines,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/momentum_works_sea_2026_press_release.pdf,509185,497.3 KB,PDF source document,N/A,6 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/philippines_e_conomy_sea_2025_report.pdf,1536903,1.5 MB,PDF source document,N/A,8 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/singapore_e_conomy_sea_2025_report.pdf,1534200,1.5 MB,PDF source document,N/A,8 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/thailand_e_conomy_sea_2025_report.pdf,2881156,2.7 MB,PDF source document,N/A,15 pages,source document; rows are not applicable
06_SUPPORTING_ASEAN,06_SUPPORTING_ASEAN/source_documents/vietnam_e_conomy_sea_2025_report.pdf,2825141,2.7 MB,PDF source document,N/A,15 pages,source document; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/README.md,549,549 B,Documentation,N/A,5 lines,documentation; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/clean_event_panel_accounting.csv,5889,5.8 KB,CSV table,47,12 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/contamination_ledger_REVIEWED.csv,5950,5.8 KB,CSV table,47,6 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/event_session_ledger_REVIEWED.csv,10435,10.2 KB,CSV table,47,8 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/market_daily.csv,182287,178.0 KB,CSV table,4413,6 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/market_index_daily.csv,136154,133.0 KB,CSV table,4149,4 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_GOTO_JK_2019_2026_chart.json,52148,50.9 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_GRAB_2019_2026_chart.json,157008,153.3 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_JKSE_2019_2026_chart.json,188229,183.8 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_NASDAQ_2019_2026_chart.json,193413,188.9 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_SE_2019_2026_chart.json,202391,197.6 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/raw_price_downloads/yahoo_SP500_2019_2026_chart.json,199830,195.1 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_correlations_unfiltered_recomputed.csv,481,481 B,CSV table,4,6 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_reproduction_status.csv,192,192 B,CSV table,1,5 columns,data rows exclude header
07_EVENT_AND_MARKET,07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_results_unfiltered_recomputed.csv,26086,25.5 KB,CSV table,47,28 columns,data rows exclude header
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/ASEAN_master_long.csv,8952,8.7 KB,CSV table,63,7 columns,data rows exclude header
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/ASEAN_verified_GMV_2024_wedge_take75.csv,357,357 B,CSV table,5,5 columns,data rows exclude header
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/README.md,691,691 B,Documentation,N/A,8 lines,documentation; rows are not applicable
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/THESIS_DATA_READY.csv,4539,4.4 KB,CSV table,44,9 columns,data rows exclude header
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/car_reconstruction_working_NOT_FINAL.csv,8288,8.1 KB,CSV table,47,6 columns,data rows exclude header
08_LEGACY_NOT_ACTIVE,08_LEGACY_NOT_ACTIVE/platform_fundamentals_quarterly.csv,33498,32.7 KB,CSV table,66,19 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/README.md,2487,2.4 KB,Documentation,N/A,46 lines,documentation; rows are not applicable
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/goto_panel_primary_document_reconciliation.csv,7500,7.3 KB,CSV table,16,15 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/goto_quarterly_primary_document_manifest.csv,6410,6.3 KB,CSV table,16,10 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/grab_panel_component_reconciliation.csv,7756,7.6 KB,CSV table,17,21 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/quarterly_panel_raw_token_scan.csv,11527,11.3 KB,CSV table,47,12 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/quarterly_panel_source_coverage.csv,39512,38.6 KB,CSV table,47,23 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/quarterly_primary_source_recovery_manifest.csv,8843,8.6 KB,CSV table,24,13 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/quarterly_release_archive_manifest.csv,15976,15.6 KB,CSV table,40,16 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/registry_sources_not_used_by_current_panel.csv,1231,1.2 KB,CSV table,3,16 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/sea_panel_direct_reconciliation.csv,5335,5.2 KB,CSV table,14,15 columns,data rows exclude header
09_QUARTERLY_SOURCE_AUDIT,09_QUARTERLY_SOURCE_AUDIT/sec_quarterly_primary_exhibit_manifest.csv,10415,10.2 KB,CSV table,31,12 columns,data rows exclude header
