firm,fiscal_quarter,period_end,gmv_usd_m,gmv_usd_m_source,revenue_usd_m,revenue_usd_m_source,net_income_usd_m,net_income_usd_m_source,total_assets_usd_m,total_assets_usd_m_source,cash_and_equivalents_usd_m,cash_and_equivalents_usd_m_source,total_debt_usd_m,total_debt_usd_m_source,shares_outstanding_m,shares_outstanding_m_source,reporting_currency,fx_rate_to_usd
SEA,2023Q1,,17226,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). GMV DERIVED: management disclosed Shopee GMV declined 1% YoY (a real slowdown during Sea's 2023 profitability pivot, later reversed in 2024). Applied to 2022Q1's disclosed $17,400M -> $17,226M. Not itself a directly-disclosed absolute figure -- flag as derived, not disclosed, if used in the panel. The near-identical value to 2022Q1 in an initial pull was this real 1% decline rounding away, not a duplication error -- checked, not assumed. Source: https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001703399, accessed 2026-08-06.",3040,"Sea consolidated GAAP revenue. Source: https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001703399, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2023Q2,,18050,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). GMV DERIVED: management disclosed Shopee GMV declined 5% YoY. Applied to 2022Q2's disclosed $19,000M -> $18,050M. Not itself a directly-disclosed absolute figure. Source: https://www.businesswire.com/news/home/20230814738285/en/Sea-Limited-Reports-Second-Quarter-2023-Results, accessed 2026-08-06.",3100,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20230814738285/en/Sea-Limited-Reports-Second-Quarter-2023-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2023Q3,,,,3300,"Sea consolidated GAAP revenue. Source: https://markets.financialcontent.com/stocks/article/bizwire-2023-11-14-sea-limited-reports-third-quarter-2023-results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2023Q4,,23100,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Quarterly total revenue not directly disclosed in available sources; FY total is, Q1-Q3 are -- deliberately not back-computing Q4 as FY-minus-sum, since that would be an estimate presented as a disclosed figure Source: https://www.businesswire.com/news/home/20240303800540/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2023-Results, accessed 2026-08-06.",,,,,,,,,,,,,USD,
SEA,2024FY,2024-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",14733.573,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",444.321,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",22625.469,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",2405.153,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",,,,,USD,
SEA,2024Q4,,28600,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20250303845756/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2024-Results, accessed 2026-08-06.",5000,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20250303845756/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2024-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2025FY,2025-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",19625.021,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",1578.149,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",29370.979,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",4158.92,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",,,,,USD,
SEA,2025Q1,,28600,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20250512899100/en/Sea-Limited-Reports-First-Quarter-2025-Results, accessed 2026-08-06.",3500,"Source: https://www.businesswire.com/news/home/20250512899100/en/Sea-Limited-Reports-First-Quarter-2025-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2025Q2,,29800,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2025/ael196LSsTKP3uVZYuCA/2025.08.12%20Sea%20Second%20Quarter%202025%20Results.pdf, accessed 2026-08-06.",3800,"Source: https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2025/ael196LSsTKP3uVZYuCA/2025.08.12%20Sea%20Second%20Quarter%202025%20Results.pdf, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2025Q3,,32200,"Shopee GMV (e-commerce segment only, not consolidated Sea total). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://cdn.sea.com/investor/3Q2025/VCQyb53nURvpodOR3CpG/2025.11.11%20Sea%20Third%20Quarter%202025%20Results.pdf",4300,"Earnings release, 2025-11-10: https://cdn.sea.com/investor/3Q2025/VCQyb53nURvpodOR3CpG/2025.11.11%20Sea%20Third%20Quarter%202025%20Results.pdf",,,,,,,,,,,USD,
SEA,2025Q4,,36700,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20260302039769/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2025-Results, accessed 2026-08-06.",6900,"Source: https://www.businesswire.com/news/home/20260302039769/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2025-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2026Q1,,37300,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Beyond the round-2 request's stated end date but publicly available; included. Source: https://www.businesswire.com/news/home/20260511833139/en/Sea-Limited-Reports-First-Quarter-2026-Results, accessed 2026-08-06.",7097.49,"Beyond the round-2 request's stated end date but publicly available; included. Source: https://www.businesswire.com/news/home/20260511833139/en/Sea-Limited-Reports-First-Quarter-2026-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
